species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Chinook,2021,Hatchery Clip,33989,31740,35972,33918.713,1083.877982755151
Chinook,2021,Hatchery No-Clip,3105,2847,3411,3106.7345,145.63407510163162
Chinook,2021,Natural,8592,8012,9242,8603.6015,308.45856102354685
Chinook,2021,Total,45719.5,43056,48397,45630.156,1338.4293972701246
