species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Steelhead,2015,Hatchery Clip,117478,110862,124714,117737.89797449362,3484.593259251818
Steelhead,2015,Hatchery No-Clip,10416.5,9403,11503,10460.905663915979,550.1721347844294
Steelhead,2015,Natural,47706.5,44768,51362,47843.052513128285,1677.4338394533102
Steelhead,2015,Total,175612,166668,186628,176042.52775693923,5001.654506131364
