species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Chinook,2010,Hatchery Clip,100047.5,90261,110689,100079.83927231807,5155.002622877984
Chinook,2010,Hatchery No-Clip,7154,6028,8264,7172.039009752438,580.1671939766956
Chinook,2010,Natural,27040.5,24081,30070,27059.25225056264,1532.1110318092467
Chinook,2010,Total,134282,120640,147645,134311.7117404351,6801.950776929906
