species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Coho,2023,Hatchery Clip,1281,1085,1478,1284.8171417854464,101.27967625265302
Coho,2023,Hatchery No-Clip,1081,903,1252,1084.3334583645913,90.03265327218435
Coho,2023,Natural,13276.5,11890,14526,13271.747561890472,680.243073427044
Coho,2023,Total,15645.5,14125,17185,15641.614216054013,792.966317119928
