species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Coho,2016,Hatchery Clip,859,728,1016,863.7378094523631,94.24262905021912
Coho,2016,Hatchery No-Clip,22,4,47,24.248124531132785,12.900967111041364
Coho,2016,Natural,2302,2031,2560,2309.934546136534,230.65937070261955
Coho,2016,Total,3190,2859,3531,3198.486309077269,299.65032081213303
