species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Steelhead,2025,Hatchery Clip,75680.5,70239,81236,75769.94298574644,2656.9130694921932
Steelhead,2025,Hatchery No-Clip,10042,9072,11005,10053.843210802701,480.638770424717
Steelhead,2025,Natural,21117,19609,22667,21151.09377344336,766.8406759105608
Steelhead,2025,Total,106852.5,99817,114706,106975.56451612903,3567.25242924857
