species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Chinook,2012,Hatchery Clip,58564,52608,65248,58749.05725,3146.508989448085
Chinook,2012,Hatchery No-Clip,4584,4024,5208,4596.69275,305.7120373977609
Chinook,2012,Natural,21607,19746,23647,21652.234,966.2006629961985
Chinook,2012,Total,84723.5,76795,93862,84998.64975,4182.563260063264
