species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Coho,2019,Hatchery Clip,267,191,341,270.92685671417854,90.5341135299093
Coho,2019,Hatchery No-Clip,1133,942,1317,1143.677794448612,314.2875506606261
Coho,2019,Natural,6552.5,5770,7291,6598.726744186047,1889.6095187487192
Coho,2019,Total,7955,7007,8822,8013.84096024006,2277.0051272429273
