species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Steelhead,2015,Hatchery Clip,117184,110543,124525,117376.00175,3496.2083892442956
Steelhead,2015,Hatchery No-Clip,10392,9351,11457,10431.68775,552.1505594582106
Steelhead,2015,Natural,47619,44540,51246,47753.64725,1737.7325323265125
Steelhead,2015,Total,175150.5,165552,185928,175561.991,5068.960249885841
