species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Steelhead,2012,Hatchery Clip,138051.5,132399,144855,138463.0315,3174.471280699472
Steelhead,2012,Hatchery No-Clip,10871,10170,11733,10888.67225,405.6925694971178
Steelhead,2012,Natural,40199,38379,42359,40273.038,1021.4541833671149
Steelhead,2012,Total,189073.5,181979,198302,189624.69725,4154.0843538976505
