species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Steelhead,2017,Hatchery Clip,80333.5,75380,84379,80193.92875,2301.7608752768338
Steelhead,2017,Hatchery No-Clip,8059,7416,8700,8063.72625,328.1084121040801
Steelhead,2017,Natural,15391.5,14474,16306,15376.06775,469.4533925555155
Steelhead,2017,Total,103818.5,97696,108792,103634.29025,2837.748639122156
