species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Chinook,2022,Hatchery Clip,58585,54342,61709,58397.271,1884.60114491843
Chinook,2022,Hatchery No-Clip,6339,5844,6857,6337.24725,259.9578160663206
Chinook,2022,Natural,16974,15776,17983,16943.73875,559.7013921820636
Chinook,2022,Total,81954,76232,85875,81679.1055,2436.2549058670647
