species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Chinook,2023,Hatchery Clip,45601.5,42274,48601,45521.06275,1586.7642884307666
Chinook,2023,Hatchery No-Clip,5239,4841,5677,5240.165,215.9512039920741
Chinook,2023,Natural,7994.5,7393,8552,7991.558,295.5249623751718
Chinook,2023,Total,58832,54763,62345,58753.538,1907.019089445063
