species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Chinook,2019,Hatchery Clip,20738,18968,22418,20728.519,874.1647119535919
Chinook,2019,Hatchery No-Clip,1950,1719,2175,1953.6805,116.1080625550938
Chinook,2019,Natural,4765,4331,5197,4763.98175,218.33211088751614
Chinook,2019,Total,27486,25129,29483,27446.87325,1099.9003367906366
