species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Chinook,2024,Hatchery Clip,47853.5,44875,51977,48167.83177044261,1835.7969494774645
Chinook,2024,Hatchery No-Clip,4659,4304,5134,4674.770630157539,213.9878622548477
Chinook,2024,Natural,10140,9543,10987,10182.718679669917,375.5737220742673
Chinook,2024,Total,62620,59185,67642,63025.83064516129,2225.137451048673
