species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Coho,2020,Hatchery Clip,1565,1334,1803,1569.100525131283,122.70938113616269
Coho,2020,Hatchery No-Clip,774,622,926,777.6235933983496,86.13663175849109
Coho,2020,Natural,9475,8513,10381,9490.24606151538,515.0538594924516
Coho,2020,Total,11812,10656,12988,11837.520255063766,644.2372896609547
