species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Steelhead,2011,Hatchery Clip,147192,136214,159058,147419.742,5636.48134862827
Steelhead,2011,Hatchery No-Clip,22863,21039,24751,22882.4495,926.2180258489909
Steelhead,2011,Natural,45528,42030,48587,45554.96125,1658.1729792623346
Steelhead,2011,Total,215672,200493,232553,215857.243,7862.140394882822
