species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Steelhead,2012,Hatchery Clip,138293.5,133115,145874,138780.34696174043,3314.760921659138
Steelhead,2012,Hatchery No-Clip,10896,10093,11722,10911.678919729933,416.55922883709155
Steelhead,2012,Natural,40254.5,38511,42428,40322.84414853714,1010.5277896772022
Steelhead,2012,Total,189339,182329,199033,190014.94242310576,4302.970689108507
