species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Steelhead,2016,Hatchery Clip,100787.5,93494,106635,100646.0465,3398.863903026359
Steelhead,2016,Hatchery No-Clip,6067,5484,6711,6091.2695,361.89970671330997
Steelhead,2016,Natural,35351.5,32826,37604,35383.8015,1347.1193236739662
Steelhead,2016,Total,142276,132545,150393,142121.81025,4744.153181348275
