species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Coho,2013,Hatchery Clip,94,53,138,96.27494373593399,23.102371136847587
Coho,2013,Hatchery No-Clip,393,300,496,396.4994373593398,57.080031482611446
Coho,2013,Natural,2281,2023,2581,2291.5920855213803,154.38609571944284
Coho,2013,Total,2771.5,2472,3111,2784.8141410352587,184.12263006648857
