species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Coho,2022,Hatchery Clip,2112,1793,2465,2123.1841710427607,195.26529632524165
Coho,2022,Hatchery No-Clip,1989,1700,2273,1993.208177044261,152.32732931035932
Coho,2022,Natural,19480.5,17296,21478,19525.938484621154,1421.7346010771528
Coho,2022,Total,23592.5,21048,26136,23643.218867216805,1653.4496621692776
