species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Chinook,2020,Hatchery Clip,17803.5,14860,21496,17896.99249812453,1629.9862720247966
Chinook,2020,Hatchery No-Clip,1445,875,2101,1485.51144036009,345.03928813242584
Chinook,2020,Natural,14596,11433,18242,14636.229557389348,1582.5074909533946
Chinook,2020,Total,33763,30383,37891,34019.31582895724,1940.3581028930644
