species,spawn_yr,origin,estimate,lower95ci,upper95ci,mean,sd
Chinook,2010,Hatchery Clip,99752,89318,109861,99896.15975,5183.827290629454
Chinook,2010,Hatchery No-Clip,7138,6069,8363,7168.999,588.975764876538
Chinook,2010,Natural,26985.5,23740,29840,26989.601,1555.388319682661
Chinook,2010,Total,133944.5,120127,147318,134055.3325,6876.290172402378
